Country, Types,Lit_alc
Norway,All types,6.035
Denmark,All types,4.532
Iceland,All types,7.745
Switzerland,All types,6.256
Finland,All types,8.929
Netherlands,All types,5.029
Canada,All types,6.895
New Zealand,All types,7.023
Australia,All types,7.032
Sweden,All types,6.882
Israel,All types,3.009
Costa Rica,All types,4.051
Austria,All types,6.415
United States of America,All types,8.801
Ireland,All types,6.289
Germany,All types,5.999
Belgium,All types,9.045
Luxembourg,All types,6.302
United Kingdom ,All types,4.418
Chile,All types,5.808
