Country,2013,2014,2015,2016,2017
Norway,7.655,7.522,7.498,7.537,7.594
Denmark,7.693,7.527,7.526,7.522,7.555
Iceland,7.355,7.561,7.501,7.504,7.495
Switzerland,7.65,7.561,7.509,7.494,7.487
Finland,7.389,7.406,7.413,7.469,7.632
Netherlands,7.512,7.378,7.339,7.377,7.441
Canada,7.477,7.427,7.404,7.316,7.328
New Zealand,7.221,7.286,7.334,7.314,7.324
Australia,7.35,7.284,7.313,7.284,7.272
Sweden,7.48,7.364,7.291,7.284,7.314
Israel,7.301,7.278,7.267,7.213,7.19
Costa Rica,7.257,7.226,7.087,7.079,7.072
Austria,7.369,7.2,7.119,7.006,7.139
United States,7.082,7.119,7.104,6.993,6.886
Ireland,7.076,6.94,6.907,6.977,6.977
Germany,6.672,6.75,6.994,6.951,6.965
Belgium,6.967,6.937,6.929,6.891,6.927
Luxembourg,7.054,6.946,6.871,6.863,6.91
United Kingdom ,6.883,6.867,6.725,6.714,6.814
Chile,6.587,6.67,6.705,6.652,6.476
