Countries,2015 Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$,2016 Out-of-Pocket Expenditure (OOPS) per Capita in PPP Int$
Algeria,288,308
Angola,66,65
Benin,34,36
Botswana,51,49
Burkina Faso,36,36
Burundi,16,15
Cameroon,115,118
Cabo Verde Republic of,82,90
Central African Republic,13,13
Chad,56,58
Comoros,91,85
Congo,65,131
Côte d'Ivoire,65,65
Democratic Republic of the Congo,12,13
Equatorial Guinea,553,611
Eritrea,30,33
Ethiopia,25,26
Gabon,124,125
Gambia,19,18
Ghana,90,72
Guinea,54,54
Guinea-Bissau,34,35
Kenya,43,40
Lesotho,38,46
Liberia,62,63
Madagascar,20,20
Malawi,12,13
Mali,29,29
Mauritania,85,83
Mauritius,569,581
Mozambique,4,5
Namibia,77,75
Niger,36,36
Nigeria,155,161
Rwanda,9,8
Sao Tome and Principe,27,28
Senegal,73,73
Seychelles,22,23
Sierra Leone,105,101
South Africa,83,83
Swaziland,71,66
Togo,50,50
Uganda,49,47
United Republic of Tanzania,25,25
Zambia,21,21
Zimbabwe,48,39
Antigua and Barbuda,261,314
Argentina,245,242
Bahamas,361,398
Barbados,569,598
Belize,121,124
Bolivia Plurinational States of ,116,139
Brazil,799,774
Canada,668,690
Chile,653,696
Colombia,163,167
Costa Rica,280,276
Cuba,302,253
Dominica,180,169
Dominican Republic,369,418
Ecuador,431,382
El Salvador,160,163
Grenada,382,430
Guatemala,248,247
Guyana,135,117
Haiti,39,40
Honduras,175,180
Jamaica,92,120
Mexico,392,392
Nicaragua,149,156
Panama,471,480
Paraguay,262,291
Peru,189,193
Saint Kitts and Nevis,706,762
Saint Lucia,353,330
Saint Vincent and the Grenadines,81,84
Suriname,213,198
Trinidad and Tobago,886,874
United States of America,"1,061","1,094"
Uruguay,322,340
Venezuela (Bolivarian Republic of),265,
Afghanistan,144,126
Bahrain,601,522
Djibouti,30,31
Egypt,308,320
Iran,544,607
Iraq,378,
Jordan,143,138
Kuwait,421,467
Lebanon,375,369
Morocco,222,226
Oman,104,167
Pakistan,89,94
Qatar,286,336
Saudi Arabia,468,447
Sudan,182,220
Tunisia,317,322
United Arab Emirates,448,473
Yemen,117,
Albania,430,440
Andorra,"2,161","2,076"
Armenia,721,707
Austria,987,"1,002"
Azerbaijan,952,942
Belarus,403,412
Belgium,758,740
Bosnia and Herzegovina,310,322
Bulgaria,706,757
Croatia,251,262
Cyprus,952,"1,020"
Czech Republic,360,373
Denmark,687,698
Estonia,424,451
Finland,808,837
France,455,467
Georgia,411,443
Germany,676,678
Greece,788,777
Hungary,537,583
Iceland,700,716
Ireland,697,688
Israel,624,653
Italy,761,792
Kazakhstan,242,305
Kyrgyzstan,140,138
Latvia,586,708
Lithuania,590,640
Luxembourg,706,716
Malta,"1,257","1,221"
Monaco,206,213
Netherlands,599,601
Norway,886,901
Poland,392,409
Portugal,733,771
Republic of Moldova,238,222
Romania,226,239
Russian Federation,513,538
San Marino,674,720
Serbia,529,536
Slovakia,374,387
Slovenia,334,333
Spain,755,777
Sweden,821,821
Switzerland,"2,213","2,326"
Tajikistan,122,138
The former Yugoslav Republic of Macedonia,301,331
Turkey,174,179
Turkmenistan,715,851
Ukraine,286,290
United Kingdom,610,632
Uzbekistan,181,218
Bangladesh,63,65
Bhutan,57,59
India,143,156
Indonesia,135,135
Maldives,254,311
Myanmar,197,215
Nepal,91,86
Sri Lanka,227,246
Thailand,75,77
Timor-Leste,11,11
Australia,838,858
Brunei Darussalam,94,92
Cambodia,124,134
China,247,273
Cook Islands,40,42
Fiji,67,65
Japan,569,618
Kiribati,0,0
Lao People's Democratic Republic,68,72
Malaysia,368,396
Marshall Islands,86,84
Micronesia (Federated States of),11,11
Mongolia,184,167
Nauru,13,14
New Zealand,469,498
Niue,20,19
Palau,256,273
Papua New Guinea,7,7
Philippines,173,185
Republic of Korea,851,903
Samoa,39,45
Singapore,"1,183","1,273"
Solomon Islands,6,5
Tonga,33,34
Tuvalu,1,4
Vanuatu,10,10
Viet Nam,145,159
