Country,Both (s) Suicide/100k,M Suicide/100k,F Suicide/100k
Norway,10.1,13.6,6.5
Denmark,9.3,13.9,5
Iceland,13.3,21.7,4.7
Switzerland,11.3,15.8,6.9
Finland,13.8,20.8,6.8
Netherlands,9.6,12.9,6.4
Canada,10.4,15.1,5.8
New Zealand,11.6,17.3,6.2
Australia,11.7,17.4,6
Sweden,11.7,15.8,7.4
Israel,5.2,8.2,3.42
Costa Rica,7.5,12.8,2.3
Austria,11.4,17.5,5.7
United States,13.7,21.1,3.3
Ireland,10.9,17.6,4.2
Germany,9.1,13.6,4.8
Belgium,15.7,22.2,9.4
Luxembourg,10.4,15,5.8
England,7.6,11.9,3.5
Chile,9.7,16,3.8
